,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
0,-0.514456204,1.030994612,-1.389338055,-0.597553486,-0.185468565,-0.30298468,-0.182866941,0.610687171,1.376942033,-0.613778275,-1.054998191,5
1,-0.24117077,2.087879353,-1.389338055,0.54924256,0.921415969,1.030028441,0.875324212,0.037658376,-0.806406834,0.357990119,-0.574564847,5
2,-0.24117077,1.383289525,-1.180946088,0.136149291,0.646347681,0.158273959,0.512543857,0.152264135,-0.383823182,0.132158264,-0.574564847,5
3,1.636962536,-1.435069785,1.528149483,-0.597553486,-0.24313563,0.358347547,0.68648237,0.72529293,-1.088129268,-0.438143049,-0.574564847,6
4,-0.514456204,1.030994612,-1.389338055,-0.597553486,-0.185468565,-0.30298468,-0.182866941,0.610687171,1.376942033,-0.613778275,-1.054998191,5
5,-0.514456204,0.796131336,-1.389338055,-0.831287222,-0.24313563,-0.060475795,0.049309555,0.610687171,1.376942033,-0.613778275,-1.054998191,5
6,-0.175039629,0.443836422,-1.076750105,-1.395317338,-0.606162461,0.158273959,0.658324547,-0.191553142,-0.102100748,-1.598331071,-1.054998191,5
7,-0.585086197,0.737415517,-1.389338055,-3.368152469,-0.866168051,0.158273959,-0.801721945,-1.223004974,0.531774729,-1.490690571,-0.348580957,7
8,-0.24117077,0.326404784,-1.285142072,-0.387655226,-0.360813058,-0.576992247,-0.979623563,0.037658376,0.320482904,-0.525190293,-0.931122557,7
9,-0.444774293,-0.143321767,0.486189648,2.736724212,-0.481759718,0.358347547,1.661665753,0.610687171,0.250052295,1.171412045,0.179644616,5
10,-1.030321014,0.326404784,-0.972554121,-0.831287222,0.876761221,0.158273959,0.822768021,-0.47806754,-0.242961965,-0.79580162,-1.310837507,5
11,-0.444774293,-0.143321767,0.486189648,2.736724212,-0.481759718,0.358347547,1.661665753,0.610687171,0.250052295,1.171412045,0.179644616,5
12,-1.961320019,0.531910151,-1.389338055,-1.395317338,0.502009609,0.260396363,0.658324547,-1.394913612,1.869956293,-0.984695372,-0.460453258,5
13,0.44369471,0.56126806,-0.451574204,1.638074059,3.470637646,2.569563263,2.410000246,1.069110207,-1.088129268,1.648448106,-1.310837507,
14,0.44369471,0.56126806,-0.399476212,1.704587716,3.319623671,2.523707436,2.45632815,1.069110207,-1.01769866,1.925042806,-1.310837507,5
15,0.204975668,-1.435069785,1.528149483,-0.831287222,0.646347681,1.690879042,1.681259796,0.094961255,-0.102100748,0.848390915,0.179644616,5
16,-0.514456204,0.385120603,-0.972554121,2.002852263,0.352721848,-1.077727368,-0.398248672,0.381475653,0.461344121,-1.180998584,-1.578140984,7
17,0.44369471,-1.787364698,1.111365549,-0.831287222,-0.128555339,1.312419867,0.68648237,0.037658376,0.531774729,-0.889357435,-1.054998191,
18,-0.376015349,-0.789195776,0.225699689,0.136149291,0.145358859,0.877405203,0.977378886,0.839898689,1.447372641,0.132158264,-0.690992552,4
19,-0.175039629,-0.5543325,-0.295280228,-1.395317338,1.263065671,-0.435413174,-0.063637341,-0.076947383,-1.01769866,1.816232208,-0.931122557,
20,0.204975668,-0.202037586,-0.816260146,0.136149291,0.250274774,-0.576992247,0.875324212,0.037658376,-1.01769866,-0.889357435,-1.054998191,6
21,-0.877626936,-0.730479957,-0.659966171,0.283881609,0.301799633,0.715656943,0.049309555,0.037658376,0.813497164,-0.02426354,-0.690992552,5
22,-1.34988185,-0.789195776,-0.555770187,-2.163684544,0.037852168,-0.30298468,-0.692363442,-0.707279058,0.179621686,-0.613778275,-1.181537138,5
23,-0.376015349,-0.671764138,-0.138986253,-0.831287222,0.037852168,-1.515159788,-1.490428721,-0.306158902,-0.242961965,-0.352583866,-0.931122557,5
24,-0.175039629,-0.5543325,-0.295280228,-1.395317338,1.263065671,-0.435413174,-0.063637341,-0.076947383,-1.01769866,1.816232208,-0.931122557,6
25,-0.729296148,1.089710431,-1.389338055,-0.597553486,0.037852168,0.051505712,-0.142371244,0.266869894,1.095219598,-0.703962523,-1.054998191,5
26,-0.24117077,0.708057607,-1.389338055,-0.387655226,0.145358859,-0.729488027,-1.109525042,-0.191553142,0.461344121,-0.352583866,-0.574564847,5
27,-1.030321014,0.884205064,-1.024652113,0.283881609,0.502009609,0.358347547,1.239583103,-0.53537042,0.250052295,-0.79580162,-0.238874643,5
28,-0.877626936,0.942920883,-1.389338055,0.421148784,1.221797117,0.797756908,-0.063637341,-0.076947383,1.02478899,-0.525190293,0.279510834,5
29,0.081369248,0.766773426,-0.764162154,0.136149291,0.198132836,0.158273959,1.870564497,-0.076947383,-1.01769866,0.208573341,-0.574564847,6
30,-2.346031132,-1.200206509,-0.086888261,-0.831287222,1.138067618,-0.060475795,0.389295394,-0.592673299,0.461344121,-0.703962523,-1.310837507,5
31,-0.24117077,0.708057607,-1.389338055,2.514456549,0.352721848,-1.281752422,-0.979623563,1.069110207,0.602205338,-0.703962523,-0.809816939,6
32,-0.24117077,0.443836422,-0.659966171,0.283881609,0.352721848,-1.791557536,-1.178570318,0.438778532,0.743066555,-0.26846272,0.473928105,5
33,-0.045252259,-0.847911595,0.069405714,-0.19740545,-0.799696534,-0.060475795,-0.353296936,0.037658376,-0.595115008,0.713109968,-0.690992552,
34,-0.585086197,-0.436900862,0.486189648,2.66610995,-0.301576773,-0.178357713,1.351031544,0.610687171,0.109191078,1.355669306,0.179644616,5
35,-0.585086197,-0.436900862,0.486189648,2.66610995,-0.301576773,-0.178357713,1.351031544,0.610687171,0.109191078,1.355669306,0.179644616,6
36,0.385036183,0.502552241,0.173601697,0.782016759,0.452813608,0.358347547,0.259285341,0.496081412,-0.383823182,-1.081884646,-1.181537138,6
37,-0.045252259,0.796131336,-0.243182237,-0.023627068,-0.606162461,-0.576992247,-0.692363442,0.037658376,-0.102100748,3.200801545,-0.025683157,7
38,-0.95341258,0.854847155,-1.285142072,-0.831287222,-2.008449527,-1.281752422,-1.490428721,-0.306158902,1.165650207,-0.984695372,-0.931122557,
39,-0.30815524,2.410816357,0.85087559,-0.023627068,1.579845331,0.797756908,1.888871153,0.152264135,-0.454253791,0.713109968,-1.310837507,5
40,0.325707258,-1.376353966,1.319757516,-1.395317338,1.541485613,-0.178357713,-0.063637341,0.094961255,-0.454253791,-0.438143049,-0.931122557,5
41,-1.268128595,-0.730479957,-0.191084245,-1.395317338,-0.799696534,-1.281752422,-1.406168041,-0.53537042,0.179621686,-0.613778275,-1.310837507,4
42,-1.961320019,-1.258922328,0.53828764,-2.163684544,-0.301576773,-0.178357713,1.541326759,-0.764581938,0.038760469,-0.438143049,-1.310837507,
43,0.385036183,0.796131336,-0.03479027,-1.094539622,-0.301576773,-1.515159788,-0.692363442,0.209567014,-1.158559877,0.781207486,-1.310837507,5
44,-1.10838601,-0.02589013,-1.180946088,-0.023627068,-0.606162461,-0.729488027,-1.178570318,-0.649976179,0.602205338,-0.02426354,-1.054998191,5
45,-1.10838601,-0.143321767,-1.180946088,-0.19740545,-0.66972271,-1.077727368,-1.250756663,-0.707279058,0.531774729,0.054558409,-1.054998191,
46,0.265692435,-0.847911595,0.486189648,0.988884781,0.091937333,1.378906377,1.978833576,0.152264135,-0.806406834,-0.613778275,-1.054998191,5
47,-0.376015349,-0.084605949,-0.607868179,0.782016759,1.424335951,1.569901315,1.02697282,-0.707279058,-1.01769866,-0.02426354,-0.131264329,5
